x,y
100000000,-90.09375000
101000000,-90.09375000
102000000,-89.59375000
103000000,-90.12500000
104000000,-89.62500000
105000000,-90.62500000
106000000,-89.12500000
107000000,-89.62500000
108000000,-89.62500000
109000000,-90.12500000
110000000,-90.62500000
111000000,-89.12500000
112000000,-89.12500000
113000000,-90.15625000
114000000,-90.65625000
115000000,-90.65625000
116000000,-89.65625000
117000000,-90.65625000
118000000,-89.15625000
119000000,-89.65625000
120000000,-90.15625000
121000000,-89.15625000
122000000,-89.68750000
123000000,-90.68750000
124000000,-89.18750000
125000000,-90.18750000
126000000,-90.68750000
127000000,-90.18750000
128000000,-89.18750000
129000000,-91.18750000
130000000,-90.68750000
131000000,-90.71875000
132000000,-90.71875000
133000000,-89.21875000
134000000,-91.21875000
135000000,-90.21875000
136000000,-90.71875000
137000000,-89.71875000
138000000,-90.21875000
139000000,-90.71875000
140000000,-89.75000000
141000000,-89.75000000
142000000,-89.25000000
143000000,-90.21875000
144000000,-90.71875000
145000000,-90.68750000
146000000,-90.18750000
147000000,-90.18750000
148000000,-91.65625000
149000000,-90.15625000
150000000,-91.15625000
151000000,-90.12500000
152000000,-90.62500000
153000000,-89.09375000
154000000,-90.09375000
155000000,-91.59375000
156000000,-90.06250000
157000000,-91.06250000
158000000,-90.03125000
159000000,-90.53125000
160000000,-90.53125000
161000000,-88.50000000
162000000,-89.50000000
163000000,-89.46875000
164000000,-89.96875000
165000000,-89.96875000
166000000,-88.93750000
167000000,-89.93750000
168000000,-89.90625000
169000000,-89.90625000
170000000,-87.90625000
171000000,-90.37500000
172000000,-88.87500000
173000000,-89.84375000
174000000,-90.84375000
175000000,-91.34375000
176000000,-89.31250000
177000000,-89.81250000
178000000,-90.28125000
179000000,-88.78125000
180000000,-89.28125000
181000000,-89.25000000
182000000,-89.25000000
183000000,-90.21875000
184000000,-88.21875000
185000000,-90.21875000
186000000,-88.68750000
187000000,-89.68750000
188000000,-87.65625000
189000000,-88.15625000
190000000,-89.15625000
191000000,-89.62500000
192000000,-87.62500000
193000000,-88.59375000
194000000,-89.09375000
195000000,-88.09375000
196000000,-88.56250000
197000000,-89.06250000
198000000,-89.06250000
199000000,-88.03125000
200000000,-89.03125000
